Stichtag,Altersgruppe,maennlich,weiblich,differenz
31.12.2013,< 1 ,350029,-332540,17489
31.12.2013,1,351040,-333253,17787
31.12.2013,2,342901,-325585,17316
31.12.2013,3,349266,-331630,17636
31.12.2013,4,344902,-326260,18642
31.12.2013,5,354141,-336518,17623
31.12.2013,6,354478,-335032,19446
31.12.2013,7,348376,-328474,19902
31.12.2013,8,354457,-336215,18242
31.12.2013,9,366990,-348582,18408
31.12.2013,10,367461,-348925,18536
31.12.2013,11,374633,-355038,19595
31.12.2013,12,383871,-363231,20640
31.12.2013,13,400235,-380355,19880
31.12.2013,14,401833,-380578,21255
31.12.2013,15,409994,-389747,20247
31.12.2013,16,423583,-402374,21209
31.12.2013,17,416724,-394233,22491
31.12.2013,18,406586,-383388,23198
31.12.2013,19,413437,-389545,23892
31.12.2013,20,430024,-407741,22283
31.12.2013,21,450294,-430604,19690
31.12.2013,22,470467,-449032,21435
31.12.2013,23,520035,-495789,24246
31.12.2013,24,515171,-493173,21998
31.12.2013,25,531457,-506372,25085
31.12.2013,26,522610,-497358,25252
31.12.2013,27,514106,-494425,19681
31.12.2013,28,501467,-486507,14960
31.12.2013,29,502617,-488416,14201
31.12.2013,30,507461,-494441,13020
31.12.2013,31,521706,-508033,13673
31.12.2013,32,515892,-506772,9120
31.12.2013,33,512867,-504701,8166
31.12.2013,34,489124,-481562,7562
31.12.2013,35,483526,-475327,8199
31.12.2013,36,479627,-471331,8296
31.12.2013,37,469978,-464220,5758
31.12.2013,38,458123,-451033,7090
31.12.2013,39,463636,-459692,3944
31.12.2013,40,468054,-464819,3235
31.12.2013,41,509971,-504327,5644
31.12.2013,42,565592,-556063,9529
31.12.2013,43,588860,-578548,10312
31.12.2013,44,636559,-620648,15911
31.12.2013,45,667951,-650799,17152
31.12.2013,46,685978,-669613,16365
31.12.2013,47,707519,-688340,19179
31.12.2013,48,711825,-689323,22502
31.12.2013,49,724356,-703986,20370
31.12.2013,50,717559,-699162,18397
31.12.2013,51,692408,-678552,13856
31.12.2013,52,679577,-672465,7112
31.12.2013,53,654702,-652370,2332
31.12.2013,54,636654,-634336,2318
31.12.2013,55,599903,-599267,636
31.12.2013,56,585028,-586696,-1668
31.12.2013,57,566126,-572105,-5979
31.12.2013,58,544393,-557428,-13035
31.12.2013,59,528574,-550933,-22359
31.12.2013,60,507892,-534742,-26850
31.12.2013,61,505273,-533755,-28482
31.12.2013,62,492813,-521686,-28873
31.12.2013,63,489366,-519707,-30341
31.12.2013,64,472498,-500968,-28470
31.12.2013,65,431042,-455839,-24797
31.12.2013,66,400687,-429369,-28682
31.12.2013,67,346418,-374233,-27815
31.12.2013,68,299772,-331909,-32137
31.12.2013,69,398656,-441029,-42373
31.12.2013,70,401243,-445870,-44627
31.12.2013,71,384422,-431270,-46848
31.12.2013,72,457192,-524887,-67695
31.12.2013,73,470573,-551207,-80634
31.12.2013,74,451827,-539988,-88161
31.12.2013,75,409699,-497607,-87908
31.12.2013,76,369024,-459329,-90305
31.12.2013,77,341930,-438404,-96474
31.12.2013,78,314510,-414982,-100472
31.12.2013,79,276235,-375503,-99268
31.12.2013,80,207752,-293816,-86064
31.12.2013,81,192308,-283965,-91657
31.12.2013,82,180011,-278367,-98356
31.12.2013,83,172021,-280401,-108380
31.12.2013,84,150841,-257959,-107118
